         5860579    161223       10			      <
         6278395    163270       11			      <
         8594694    163757       12			      <
        20457232    167151       18			      <
        43568619    166346       55			      <
        66475567    167551       76			      <
       102887891    166346       97			      <
       105451680    166374      100			      <
       214746774    171282      154			      <
       247930600    171897      237			      <
       250015849    161312      629			      <
       283490315    171897      270			      <
       310760642    161217      352			      <
       381834012    171876      286			      <
       390129055    171484      331			      <
       429788310    166864      431			      <
       459799985    161217      538			      <
       460871414    172400      339			      <
       506335895    166380      440			      <
       568125713    161217      679			      <
       569258475    166563      569			      <
       612071349    161217      738			      <
       682306882    171876      507			      <
       695148881    172791      503			      <
       810053206    163817      885			      <
       852226287    163817      935			      <
       940712551    167830      914			      <
      1133153807    167898      940			      <
      1503789984    173692     1071			      <
      1681246663    167898     1455			      <
      1753634318    166512     1602			      <
      1827443894    172868     1396			      <
