							      >	          2474404            163586                  4       
							      >	           13673096          172255                  10      
							      >	           38664156          163758                  53      
							      >	           40088398          167830                  44      
							      >	           40385942          173658                  30      
							      >	           40753423          171446                  63      
							      >	           41555143          171315                  60      
							      >	           45858530          163663                  63      
							      >	            46740747         163630                  113     
							      >	           51601699          172254                  33      
							      >	           52552471          171812                  61      
							      >	           60893022          172620                  68      
							      >	           61141770          166946                  69      
							      >	           69116714          173692                  79      
							      >	           70899406          173198                  73      
							      >	           78499654          171578                  96      
							      >	            82756084         171274                  117     
							      >	           88947705          173241                  61      
							      >	            97834663         171050                  105     
							      >	           106518816         173659                  73      
							      >	            124008522        166033                  102     
							      >	            124888251        172286                  109     
							      >	            143328725        167043                  149     
							      >	            152832246        172620                  168     
							      >	            185961665        173406                  145     
							      >	            200536820        171926                  149     
							      >	            212206681        167913                  199     
							      >	            223601391        166888                  204     
							      >	            254541241        163758                  356     
							      >	            258749247        166049                  201     
							      >	            268975664        173659                  184     
							      >	            312399650        166784                  325     
							      >	            315279341        166763                  286     
							      >	            315815326        167807                  253     
							      >	            333370299        167041                  296     
							      >	            333639817        173241                  220     
							      >	            336502720        173439                  221     
							      >	            337139053        173439                  222     
							      >	            342134846        165415                  295     
							      >	            350690082        170826                  285     
							      >	            354968489        167913                  335     
							      >	            407886097        172868                  292     
							      >	            411124074        165993                  364     
							      >	            434844253        172411                  335     
							      >	            453532569        165570                  339     
							      >	            469419360        173241                  313     
							      >	            482432684        173692                  330     
							      >	            483570249        166895                  533     
							      >	            502347948        172802                  601     
							      >	            505549268        173198                  351     
							      >	            520808975        172791                  378     
							      >	            563462496        172868                  412     
							      >	            584545830        171050                  454     
							      >	            591434272        165472                  524     
							      >	            652574066        166841                  607     
							      >	            699806729        165570                  528     
							      >	            715410185        172400                  530     
							      >	            753133939        166565                  847     
							      >	            758359569        172822                  560     
							      >	            808249507        167898                  668     
							      >	            808409395        166922                  634     
							      >	            809480586        166408                  636     
							      >	            824196799        171178                  785     
							      >	            909415179        172400                  667     
							      >	            918978743        172400                  674     
							      >	            925846014        167807                  716     
							      >	            969047082        173241                  687     
							      >	            987574816        166408                  782     
							      >	            1215776048       173692                  861     
							      >	             1237830562      166950                  1107    
							      >	             1289936492      172952                  1128    
							      >	             1395580344      166033                  1053    
							      >	             1567805158      173692                  1117    
							      >	             1647257871      166512                  1488    
							      >	             1661891670      172949                  1186    
							      >	             2097384295      172822                  1592    
							      >	             2564271889      173692                  1920    
