    47430671    176844        33			      <
    80911797    177096        55			      <
   134393145    175886       111			      <
   174062606    178421       154			      <
   182908080    178479       143			      <
   214936241    178712       124			      <
   250955397    178116       166			      <
   271698599    177782       216			      <
   311420549    176801       183			      <
   324067878    177140       174			      <
   330150478    176797       209			      <
   458271140    178840       287			      <
   511165441    178871       369			      <
   533347066    176304       367			      <
   536178397    176860       354			      <
   780027653    179563       477			      <
  1036400639    176309       768			      <
  1045401734    178871       809			      <
