							      >	         47430671     176844        33
							      >	         68346268     177776        82
							      >	         80911797     177096        55
							      >	        131223637     177183        85
							      >	        134393145     175886       111
							      >	        144302519     178110       115
							      >	        157859203     176467       107
							      >	        174062606     178421       154
							      >	        182908080     178479       143
							      >	        202898521     178365       138
							      >	        214936241     178712       124
							      >	        250955397     178116       166
							      >	        271698599     177782       216
							      >	        311420549     176801       183
							      >	        324067878     177140       174
							      >	        330150478     176797       209
							      >	        458271140     178840       287
							      >	        511165441     178871       369
							      >	        523053131     175921       367
							      >	        533347066     176304       367
							      >	        536178397     176860       354
							      >	        624217487     178871       457
							      >	        725559966     176933       412
							      >	        733891018     180250       401
							      >	        780027653     179563       477
							      >	       1036400639     176309       768
							      >	       1045401734     178871       809
							      >	       2318564382     177730      1505
